id,lat,lon,name
0,47.0526185,28.7713963,Șoseaua Balcani - Centura Chișinăului
1,47.0511390,28.7740473,Șoseaua Balcani - Centura Chișinăului
2,47.0425863,28.7945327,Strada Mesager
3,47.0387166,28.8040857,Strada Calea Ieșilor
4,47.0532856,28.7731595,Șoseaua Balcani - Centura Chișinăului
5,47.0532595,28.7763167,Șoseaua Balcani - Centura Chișinăului
6,47.0535472,28.7773788,Șoseaua Balcani - Centura Chișinăului
7,47.0639815,28.7953862,Șoseaua Balcani - Centura Chișinăului
8,47.0485724,28.7780213,Strada Calea Ieșilor
9,47.0501848,28.7768347,Strada Calea Ieșilor
10,47.0512811,28.7766224,Strada Calea Ieșilor
11,47.0516469,28.7766657,Șoseaua Balcani - Centura Chișinăului
12,47.0541732,28.7786889,Șoseaua Balcani - Centura Chișinăului
13,47.0690101,28.8703972,Strada Bucovina
14,47.0709834,28.8602648,
15,47.0441679,28.8070773,Strada Bucuriei
16,47.0592397,28.7873120,Strada Petricani
17,47.0587585,28.7892494,Strada Petricani
18,47.0584388,28.7906957,Strada Petricani
19,47.0543732,28.8096943,Strada Petricani
20,47.0532178,28.8149993,Strada Petricani
21,47.0530962,28.8154006,Strada Petricani
22,47.0527640,28.8161575,Strada Petricani
23,47.0524568,28.8168012,Strada Petricani
24,47.0522623,28.8172607,Strada Petricani
25,47.0515550,28.8187236,Strada Petricani
26,47.0501045,28.8219750,Strada Mircești
27,47.0495643,28.8231707,Strada Petricani
28,47.0482305,28.8258854,Strada Petricani
29,47.0321038,28.8486689,Strada Albișoara
30,47.0170800,28.8245604,Strada Alexandr Pușkin
31,47.0291368,28.8419301,Strada Alexandr Pușkin
32,47.0406435,28.8293618,Strada Mihai Viteazul
33,47.0401709,28.8365317,Strada Albișoara
34,47.0383788,28.8526143,Bulevardul Renașterii Naționale
35,47.0376863,28.8515988,Bulevardul Renașterii Naționale
36,47.0370569,28.8506793,Stradela 2 Pietrăriei
37,47.0333201,28.8448839,Bulevardul Grigore Vieru
38,47.0283120,28.8382997,Bulevardul Grigore Vieru
39,47.0297395,28.8402251,Strada Ierusalim
40,47.0241204,28.8666222,Strada Ismail
41,47.0254571,28.8659659,Strada Tudor Vladimirescu
42,47.0271402,28.8648826,Strada Tudor Vladimirescu
43,47.0280690,28.8643394,Strada Tudor Vladimirescu
44,47.0284721,28.8641554,Strada Tudor Vladimirescu
45,47.0313745,28.8633254,Strada Tudor Vladimirescu
46,47.0322547,28.8630592,Strada Tudor Vladimirescu
47,47.0335564,28.8625404,Strada Tudor Vladimirescu
48,47.0339794,28.8623978,Strada Tudor Vladimirescu
49,47.0361543,28.8617305,Strada Dumitru Râșcanu
50,47.0363757,28.8614433,Strada Tudor Vladimirescu
51,47.0390445,28.8575679,Strada Tudor Vladimirescu
52,47.0391935,28.8555783,Strada Tudor Vladimirescu
53,47.0407752,28.8538362,Bulevardul Renașterii Naționale
54,47.0415504,28.8537073,Bulevardul Renașterii Naționale
55,47.0422089,28.8534330,Bulevardul Renașterii Naționale
56,47.0442548,28.8508306,Bulevardul Renașterii Naționale
57,47.0448966,28.8496229,Bulevardul Renașterii Naționale
58,47.0454872,28.8487089,Bulevardul Renașterii Naționale
59,47.0275261,28.8394212,Strada Alexandr Pușkin
60,47.0294872,28.8365723,Strada Mitropolit Gavriil Bănulescu-Bodoni
61,47.0308478,28.8385814,Strada Mitropolit Gavriil Bănulescu-Bodoni
62,47.0302112,28.8376230,Strada Mitropolit Gavriil Bănulescu-Bodoni
63,47.0296312,28.8367847,Strada Mitropolit Gavriil Bănulescu-Bodoni
64,47.0194228,28.8220521,Strada Alexei Mateevici
65,47.0416808,28.8748763,Strada Alecu Russo
66,47.0410393,28.8774773,Strada Alecu Russo
67,47.0404428,28.8794104,Strada Alecu Russo
68,47.0394874,28.8593881,Strada Spartacus
69,47.0392363,28.8592806,Strada Kiev
70,47.0389928,28.8588977,Strada Kiev
71,47.0325325,28.8527864,Strada Calea Moșilor
72,47.0318568,28.8539391,Strada Calea Moșilor
73,47.0314220,28.8545617,Strada Calea Moșilor
74,47.0272071,28.8587836,Strada Calea Moșilor
75,47.0228911,28.8616267,Strada Ismail
76,47.0352172,28.8479695,Bulevardul Renașterii Naționale
77,47.0422507,28.8449159,Strada Calea Orheiului
78,47.0406555,28.8435915,
79,47.0406028,28.8437812,
80,47.0410061,28.8439299,
81,47.0432719,28.8550360,Strada Bogdan-Voievod
82,47.0432994,28.8557167,Strada Bogdan-Voievod
83,47.0442325,28.8606933,Strada Bogdan-Voievod
84,47.0334095,28.8068602,Strada Eugen Coca
85,47.0426573,28.8325796,Strada Mihai Viteazul
86,47.0433104,28.8330658,Strada Petricani
87,47.0430163,28.8332348,
88,47.0429611,28.8336912,Strada Petricani
89,47.0430759,28.8339183,
90,47.0431625,28.8339841,
91,47.0426715,28.8326010,Strada Mihai Viteazul
92,47.0427431,28.8328450,Strada Mihai Viteazul
93,47.0311487,28.8167954,Strada Alexei Șciusev
94,47.0287976,28.8202804,Strada 31 August 1989
95,47.0274234,28.8223129,Strada Serghei Lazo
96,47.0245053,28.8266393,Strada Nicolae Iorga
97,47.0235443,28.8280649,Strada 31 August 1989
98,47.0215996,28.8309640,Strada 31 August 1989
99,47.0588710,28.8383348,Strada Doina
100,47.0109499,28.8438728,Strada Ciuflea
101,47.0289248,28.8171530,Strada Alexei Șciusev
102,47.0221756,28.8189032,Strada Alexei Mateevici
103,47.0216840,28.8195099,Strada Alexei Mateevici
104,47.0205436,28.8208879,Strada Alexei Mateevici
105,47.0131649,28.8298228,Strada Armenească
106,47.0105040,28.8339118,Strada Alexei Mateevici
107,47.0092294,28.8357419,Strada Alexei Mateevici
108,47.0208279,28.8380604,Strada Vasile Alecsandri
109,47.0177974,28.8337851,Strada București
110,47.0234476,28.8654520,Strada Ismail
111,47.0231417,28.8643404,Strada Ismail
112,47.0230941,28.8636356,Strada Calea Moșilor
113,47.0230587,28.8630516,Strada Ismail
114,47.0324792,28.8166566,Strada Alexei Șciusev
115,47.0268373,28.8175102,Strada Alexei Șciusev
116,47.0138221,28.8549074,
117,47.0136674,28.8547502,
118,47.0136116,28.8547525,
119,47.0134357,28.8550555,
120,47.0134442,28.8551420,
121,47.0136255,28.8554208,Bulevardul Iuri Gagarin
122,47.0132178,28.8377974,Strada Alexei Șciusev
123,47.0577318,28.8664931,Bulevardul Moscova
124,47.0590752,28.8678930,Bulevardul Moscova
125,47.0592268,28.8681418,Strada Studenților
126,47.0592782,28.8679181,Strada Studenților
127,47.0593239,28.8676370,Strada Studenților
128,47.0613192,28.8575579,Strada Studenților
129,47.0461089,28.8485194,Strada Calea Orheiului
130,47.0456664,28.8483112,
131,47.0456428,28.8481703,Strada Calea Orheiului
132,47.0453856,28.8479364,Strada Poștei
133,47.0453370,28.8479455,
134,47.0452471,28.8480010,Strada Calea Orheiului
135,47.0451440,28.8481853,
136,47.0451252,28.8483027,
137,47.0452049,28.8486172,
138,47.0453370,28.8487229,
139,47.0455326,28.8486778,Strada Calea Orheiului
140,47.0459656,28.8486757,Strada Calea Orheiului
141,47.0621375,28.8541801,Strada Socoleni
142,47.0624080,28.8530424,Strada Socoleni
143,47.0624439,28.8528290,Strada Socoleni
144,47.0625029,28.8521443,Strada Socoleni
145,47.0625052,28.8518993,Strada Socoleni
146,47.0624849,28.8513903,Strada Socoleni
147,47.0684540,28.8583729,Strada Calea Orheiului
148,47.0695025,28.8590643,
149,47.0697628,28.8593538,
150,47.0699032,28.8595697,
151,47.0700521,28.8598552,
152,47.0701586,28.8601364,
153,47.0702319,28.8604187,
154,47.0702674,28.8606455,
155,47.0702850,28.8612496,
156,47.0704887,28.8605247,
157,47.0709593,28.8580185,
158,47.0711762,28.8577834,
159,47.0714429,28.8577251,
160,47.0716971,28.8578572,
161,47.0718793,28.8581490,
162,47.0719140,28.8582716,
163,47.0719193,28.8586917,
164,47.0717898,28.8590660,
165,47.0716421,28.8592455,
166,47.0714629,28.8593456,
